Serial,1,100,1,1
Serial,1,100,2,1
Serial,1,100,INFINITY,1
Parallel,2,100,1,115
Parallel,2,100,2,21
Parallel,2,100,INFINITY,21
Parallel,3,100,1,50
Parallel,3,100,2,28
Parallel,3,100,INFINITY,36
Parallel,4,100,1,59
Parallel,4,100,2,30
Parallel,4,100,INFINITY,28
Parallel,5,100,1,64
Parallel,5,100,2,44
Parallel,5,100,INFINITY,45
Parallel,6,100,1,99
Parallel,6,100,2,42
Parallel,6,100,INFINITY,44
Parallel,7,100,1,71
Parallel,7,100,2,45
Parallel,7,100,INFINITY,58
Parallel,8,100,1,66
Parallel,8,100,2,63
Parallel,8,100,INFINITY,79
Serial,1,1000,1,8
Serial,1,1000,2,8
Serial,1,1000,INFINITY,2
Parallel,2,1000,1,98
Parallel,2,1000,2,26
Parallel,2,1000,INFINITY,25
Parallel,3,1000,1,65
Parallel,3,1000,2,29
Parallel,3,1000,INFINITY,27
Parallel,4,1000,1,63
Parallel,4,1000,2,48
Parallel,4,1000,INFINITY,31
Parallel,5,1000,1,61
Parallel,5,1000,2,43
Parallel,5,1000,INFINITY,47
Parallel,6,1000,1,72
Parallel,6,1000,2,49
Parallel,6,1000,INFINITY,40
Parallel,7,1000,1,104
Parallel,7,1000,2,52
Parallel,7,1000,INFINITY,43
Parallel,8,1000,1,96
Parallel,8,1000,2,86
Parallel,8,1000,INFINITY,48
Serial,1,10000,1,86
Serial,1,10000,2,75
Serial,1,10000,INFINITY,16
Parallel,2,10000,1,120
Parallel,2,10000,2,54
Parallel,2,10000,INFINITY,27
Parallel,3,10000,1,74
Parallel,3,10000,2,47
Parallel,3,10000,INFINITY,28
Parallel,4,10000,1,82
Parallel,4,10000,2,45
Parallel,4,10000,INFINITY,31
Parallel,5,10000,1,88
Parallel,5,10000,2,55
Parallel,5,10000,INFINITY,36
Parallel,6,10000,1,92
Parallel,6,10000,2,70
Parallel,6,10000,INFINITY,46
Parallel,7,10000,1,72
Parallel,7,10000,2,58
Parallel,7,10000,INFINITY,44
Parallel,8,10000,1,107
Parallel,8,10000,2,105
Parallel,8,10000,INFINITY,70
Serial,1,100000,1,736
Serial,1,100000,2,747
Serial,1,100000,INFINITY,166
Parallel,2,100000,1,451
Parallel,2,100000,2,389
Parallel,2,100000,INFINITY,104
Parallel,3,100000,1,261
Parallel,3,100000,2,249
Parallel,3,100000,INFINITY,81
Parallel,4,100000,1,211
Parallel,4,100000,2,196
Parallel,4,100000,INFINITY,72
Parallel,5,100000,1,211
Parallel,5,100000,2,188
Parallel,5,100000,INFINITY,89
Parallel,6,100000,1,255
Parallel,6,100000,2,250
Parallel,6,100000,INFINITY,112
Parallel,7,100000,1,160
Parallel,7,100000,2,146
Parallel,7,100000,INFINITY,112
Parallel,8,100000,1,214
Parallel,8,100000,2,209
Parallel,8,100000,INFINITY,99
Serial,1,1000000,1,5025
Serial,1,1000000,2,4315
Serial,1,1000000,INFINITY,919
Parallel,2,1000000,1,2142
Parallel,2,1000000,2,2020
Parallel,2,1000000,INFINITY,487
Parallel,3,1000000,1,1334
Parallel,3,1000000,2,1248
Parallel,3,1000000,INFINITY,309
Parallel,4,1000000,1,971
Parallel,4,1000000,2,952
Parallel,4,1000000,INFINITY,248
Parallel,5,1000000,1,1020
Parallel,5,1000000,2,981
Parallel,5,1000000,INFINITY,358
Parallel,6,1000000,1,887
Parallel,6,1000000,2,1253
Parallel,6,1000000,INFINITY,296
Parallel,7,1000000,1,728
Parallel,7,1000000,2,829
Parallel,7,1000000,INFINITY,291
Parallel,8,1000000,1,780
Parallel,8,1000000,2,745
Parallel,8,1000000,INFINITY,379
Serial,1,10000000,1,35682
Serial,1,10000000,2,34436
Serial,1,10000000,INFINITY,7832
Parallel,2,10000000,1,17893
Parallel,2,10000000,2,17841
Parallel,2,10000000,INFINITY,4163
Parallel,3,10000000,1,12349
Parallel,3,10000000,2,12372
Parallel,3,10000000,INFINITY,2847
Parallel,4,10000000,1,9352
Parallel,4,10000000,2,9269
Parallel,4,10000000,INFINITY,2138
Parallel,5,10000000,1,9391
Parallel,5,10000000,2,9965
Parallel,5,10000000,INFINITY,2978
Parallel,6,10000000,1,7722
Parallel,6,10000000,2,7814
Parallel,6,10000000,INFINITY,2965
Parallel,7,10000000,1,6984
Parallel,7,10000000,2,6882
Parallel,7,10000000,INFINITY,2226
Parallel,8,10000000,1,5962
Parallel,8,10000000,2,5958
Parallel,8,10000000,INFINITY,2096
